ELI,title,summary
DU/2024/1545,Obwieszczenie Ministra Sprawiedliwości z dnia 11 października 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Sprawiedliwości w sprawie organizacji i przebiegu aplikacji notarialnej,"Akt prawny określa zasady aplikacji notarialnej, w tym zadania aplikanta, organizację zajęć seminaryjnych i praktycznych. Aplikant musi odbyć praktykę u notariusza i w sądzie, uczestniczyć w zajęciach seminaryjnych oraz zdać kolokwium. Kolokwium przeprowadza komisja złożona z notariuszy i sędziego. Aplikant, który uzyska pozytywne oceny ze wszystkich zadań kolokwium, otrzymuje pozytywny wynik. 
"
DU/2024/1546,Obwieszczenie Prezesa Rady Ministrów z dnia 10 października 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Rady Ministrów w sprawie zaświadczeń o pomocy de minimis i pomocy de minimis w rolnictwie lub rybołówstwie,"Rozporządzenie określa formę, treść i sposób wydawania zaświadczeń o pomocy de minimis i pomocy de minimis w rolnictwie lub rybołówstwie. Zaświadczenia te zawierają m.in. datę wydania, dane podmiotu udzielającego pomocy, dane beneficjenta, wartość pomocy, podstawę prawną udzielenia pomocy oraz informację, że udzielona pomoc jest pomocą de minimis. Zaświadczenie o pomocy de minimis w rolnictwie lub rybołówstwie zawiera dodatkowo opis usługi świadczonej w ogólnym interesie gospodarczym. Zaświadczenia wydawane są z urzędu w dniu udzielenia pomocy, a w przypadku ulgi podatkowej w terminie 2 miesięcy od dnia udzielenia pomocy. 
"
DU/2024/1547,Rozporządzenie Ministra Obrony Narodowej z dnia 11 października 2024 r. w sprawie niezbędnych świadczeń rzeczowych w 2025 r. na rzecz obrony,"Rozporządzenie określa maksymalne ilości świadczeń rzeczowych na rzecz obrony w 2025 roku. Dotyczy to nieruchomości, pojazdów, przyczep i maszyn przeznaczonych dla organów administracji rządowej i samorządu, a także jednostek organizacyjnych Sił Zbrojnych. Świadczenia dotyczą wykonywania zadań związanych z kwalifikacją wojskową, ćwiczeniami, w tym natychmiastowym stawiennictwem żołnierzy rezerwy i sprawdzaniem gotowości mobilizacyjnej. Rozporządzenie wchodzi w życie z dniem 1 stycznia 2025 roku.
"
DU/2024/1548,Rozporządzenie Ministra Rolnictwa i Rozwoju Wsi z dnia 16 października 2024 r. zmieniające rozporządzenie w sprawie terytorialnego zakresu działania oraz siedzib powiatowych i granicznych lekarzy weterynarii,"Rozporządzenie zmienia zakres terytorialny działania niektórych granicznych lekarzy weterynarii. Wprowadza zmiany w  terytorialnym zakresie działania lekarzy weterynarii dla przejść granicznych w Dorohusku, Hrubieszowie, Kukurykach, Terespol, Hrebenne, Korczowej i Przemyślu. W szczególności ustala się nowego Granicznego Lekarza Weterynarii w Koroszczynie, który będzie odpowiedzialny za przejście graniczne drogowe Kukuryki i przejście graniczne kolejowe Terespol (ruch towarowy). Nowe przepisy wchodzą w życie 1 stycznia 2025 r.
"
DU/2024/1549,"Rozporządzenie Ministra Finansów z dnia 9 października 2024 r. w sprawie wzorów pełnomocnictwa szczególnego i pełnomocnictwa do doręczeń oraz wzorów zawiadomienia o zmianie, odwołaniu lub wypowiedzeniu tych pełnomocnictw","Rozporządzenie określa wzory pełnomocnictwa szczególnego, pełnomocnictwa do doręczeń oraz zawiadomienia o zmianie, odwołaniu lub wypowiedzeniu tych pełnomocnictw.  Wzory mają być stosowane w postępowaniach podatkowych.  Akt prawny uchyla poprzednie rozporządzenie Ministra Finansów w tej sprawie, a wchodzi w życie z dniem 1 stycznia 2025 r. 
"
DU/2024/1550,Rozporządzenie Ministra Finansów z dnia 17 października 2024 r. w sprawie zaniechania poboru ryczałtu od dochodów spółek w związku z usuwaniem skutków powodzi z września 2024 r.,"Rozporządzenie zwalnia spółki z podatku ryczałtowego od dochodów osiągniętych z darowizn lub usług świadczonych bezpłatnie dla organizacji pożytku publicznego, które są związane z usuwaniem skutków powodzi z września 2024 r. Zwalniające przepisy dotyczą dochodów osiągniętych od 12 września do 31 grudnia 2024 r. i obejmują koszty poniesione na darowizny lub usługi, a nie dochód z nich osiągnięty. 
"
DU/2024/591,"Rozporządzenie Ministra Rolnictwa i Rozwoju Wsi z dnia 16 kwietnia 2024 r. zmieniające rozporządzenie w sprawie szczegółowego przeznaczenia, warunków i trybu udzielania wsparcia w zakresie przetwarzania lub wprowadzania do obrotu produktów rolnych, spożywczych, rybołówstwa lub akwakultury w ramach Krajowego Planu Odbudowy i Zwiększania Odporności","Rozporządzenie zmienia przepisy dotyczące udzielania wsparcia w ramach Krajowego Planu Odbudowy i Zwiększania Odporności dla przetwórstwa i obrotu produktami rolnymi, spożywczymi, rybnymi i akwakulturowymi. Wprowadza nowe warunki dla beneficjentów, m.in. dotyczące ubezpieczenia społecznego rolników lub przyznania płatności bezpośrednich. Dodatkowo, rozszerzono zakres stosowanych przepisów o Komisję (UE) 2023/2831 dotyczącą pomocy de minimis. Nowe przepisy mają zastosowanie do postępowań wszczętych, ale nie zakończonych przed dniem wejścia w życie rozporządzenia. 
"
DU/2024/1551,Rozporządzenie Ministra Finansów z dnia 18 października 2024 r. w sprawie zaniechania poboru podatku dochodowego od kwot z tytułu ubezpieczeń majątkowych otrzymanych w związku z usuwaniem skutków powodzi z września 2024 r.,"Rozporządzenie zwalnia z podatku dochodowego kwoty wypłacone z tytułu ubezpieczeń majątkowych osobom fizycznym i prawnym, które poniosły straty w wyniku powodzi we wrześniu 2024 r. Zwalnia od podatku dochody uzyskane w związku z tymi ubezpieczeniami od 12 września 2024 r. do 31 grudnia 2026 r. Zwalnianie dotyczy wyłącznie osób, które uznane zostały za poszkodowane na mocy ustawy o szczególnych rozwiązaniach związanych z usuwaniem skutków powodzi. 
"
DU/2023/2254,Rozporządzenie Ministra Edukacji i Nauki z dnia 12 października 2023 r. zmieniające rozporządzenie w sprawie udzielania jednostkom samorządu terytorialnego dotacji celowej z budżetu państwa na dofinansowanie zadań w zakresie wychowania przedszkolnego,"Rozporządzenie zmienia sposób naliczania dotacji celowej dla samorządów na zadania w zakresie wychowania przedszkolnego. Obowiązuje  nowe rozliczenie dotacji dla roku 2023, które nie uwzględnia w liczbie uczniów obywateli Ukrainy. Rozliczenie dotyczy tylko wydatków bieżących, które nie zostały dofinansowane ze środków europejskich, Funduszu Pomocy lub innych źródeł. Dodatkowo, rozporządzenie wprowadza nowy wzór rozliczenia dotacji. 
"
DU/2024/32,"Rozporządzenie Ministra Rolnictwa i Rozwoju Wsi z dnia 8 grudnia 2023 r. zmieniające rozporządzenie w sprawie szczegółowych warunków i trybu przyznawania pomocy finansowej w ramach działania ""Rolnictwo ekologiczne"" objętego Programem Rozwoju Obszarów Wiejskich na lata 2014-2020","Rozporządzenie wprowadza zmiany w zasadach przyznawania płatności ekologicznych. Pozwala na otrzymanie płatności za ostatni rok realizacji zobowiązania ekologicznego, nawet jeśli uprawa została zakończona przed zakończeniem roku. Rolnik może rozpocząć uprawę roślin w ramach innych pakietów niż dotychczas, bez utraty płatności ekologicznej, pod warunkiem, że spełnia warunki przyznania płatności. Zmiany mają zastosowanie do spraw wszczętych lub zakończonych przed wejściem w życie rozporządzenia, ale nieostatecznie rozstrzygniętych.  Rozporządzenie wchodzi w życie 15 marca 2024 r. 
"
DU/2024/33,Rozporządzenie Ministra Rolnictwa i Rozwoju Wsi z dnia 7 grudnia 2023 r. zmieniające rozporządzenie w sprawie szczegółowych warunków i szczegółowego trybu przyznawania i wypłaty płatności ekologicznych w ramach Planu Strategicznego dla Wspólnej Polityki Rolnej na lata 2023-2027,"Rozporządzenie wprowadza zmiany w przepisach dotyczących płatności ekologicznych w ramach Planu Strategicznego dla Wspólnej Polityki Rolnej. Zmiany dotyczą możliwości zmiany uprawianych roślin, miejsca ich uprawy i pakietów objętych zobowiązaniami ekologicznymi w ramach rolnictwa ekologicznego. Wprowadzono również zmiany w przyznawaniu płatności ekologicznych w przypadku zaprzestania uprawy roślin ekologicznych po ostatnim roku realizacji zobowiązania. Rozporządzenie wchodzi w życie 15 marca 2024 r. Zmiany dotyczą również procedury składania wniosków o płatności ekologiczne. 
"
DU/2024/34,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 7 grudnia 2023 r. w sprawie ogłoszenia jednolitego tekstu ustawy - Prawo telekomunikacyjne,"Ustawa reguluje działalność telekomunikacyjną, definiując zasady świadczenia usług, prawa i obowiązki przedsiębiorców i użytkowników, a także warunki ochrony danych. Wprowadza rachunkowość regulacyjną i kalkulację kosztów dla operatorów o znaczącej pozycji rynkowej. Ustawa określa usługę powszechną jako zestaw usług telekomunikacyjnych dostępnych dla wszystkich, a także wyznacza przedsiębiorcę do jej świadczenia. Wprowadza regulacje dotyczące gospodarki częstotliwościami i numeracją, określając m.in. warunki rezerwacji częstotliwości i przydziału numeracji. Ustawa określa szczegółowe wymagania dla urządzeń radiowych wprowadzanych do obrotu i określa zasady ochrony tajemnicy telekomunikacyjnej i danych osobowych. 
"
DU/2024/36,Rozporządzenie Ministra Obrony Narodowej z dnia 8 stycznia 2024 r. zmieniające rozporządzenie w sprawie sposobu i trybu wydawania zezwoleń wojskowych na przejazd drogowy oraz sposobu organizacji i oznakowania kolumn pojazdów Sił Zbrojnych Rzeczypospolitej Polskiej,"Rozporządzenie wprowadza zmiany dotyczące wydawania zezwoleń wojskowych na przejazdy drogowe.  Zmiany dotyczą głównie organów odpowiedzialnych za wydawanie zezwoleń, trybu ich wydawania oraz procedur pilotowania.  Zezwolenia wojskowe mogą być wydawane w formie elektronicznej lub papierowej, a ich ważność zależy od rodzaju przejazdu. Rozporządzenie precyzuje także wymagania dotyczące przejazdów pojazdów nienormatywnych,  w tym czas informowania o konieczności pilotowania.  Wprowadza również przepisy dotyczące pilotowania kolumn przez Żandarmerię Wojskową.  W stanie gotowości obronnej państwa czasu kryzysu lub wojny, część przepisów nie ma zastosowania. 
"
DU/2024/135,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 16 stycznia 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o nadzorze nad rynkiem finansowym,"Ustawa reguluje organizację i cele nadzoru nad rynkiem finansowym w Polsce. Komisja Nadzoru Finansowego (KNF) jest odpowiedzialna za nadzór nad różnymi sektorami rynku finansowego, w tym bankowością, ubezpieczeniami, rynkiem kapitałowym i usługami płatniczymi. Ustawa wprowadza także nowy system postępowania wyjaśniającego, umożliwiający KNF prowadzenie dochodzeń w sprawie możliwych przestępstw lub naruszeń prawa w sektorze finansowym. KNF może nakładać kary pieniężne na podmioty naruszające prawo, a także ma możliwość zawarcia układów z tymi podmiotami w celu złagodzenia sankcji, jeśli spełnione są określone warunki. Ustawa zawiera również przepisy dotyczące finansowania KNF, w tym opłaty pobierane od podmiotów nadzorowanych, oraz przepisy karne dotyczące utrudniania lub udaremniania czynności nadzorczych. 
"
DU/2024/137,"Rozporządzenie Ministra Obrony Narodowej z dnia 24 stycznia 2024 r. w sprawie udzielania żołnierzom pełniącym terytorialną służbę wojskową dofinansowania kosztów studiów, nauki, stażu, kursu lub specjalizacji","Rozporządzenie określa zasady dofinansowania kosztów kształcenia dla żołnierzy OT. Dofinansowanie przyznawane jest na wniosek żołnierza OT, który musi złożyć wniosek do dowódcy jednostki wojskowej wraz z dokumentami potwierdzającymi rozpoczęcie kształcenia.  Dowódca jednostki wojskowej dofinansowuje koszty kształcenia na podstawie umowy, zaświadczenia o ukończeniu kształcenia lub zaświadczenia o zaliczeniu kolejnego okresu kształcenia i dowodu uiszczenia opłaty. Żołnierz OT dokumentuje koszty kształcenia poprzez przedstawienie dowodu uiszczenia opłat. 
"
